user_id,group_name,industry,template_activity
2fc14f889d52a89,control,Преподавание и обучение,5.0771
c118a6226618b3f,control,,4.2615
3ef46bf37f0e3be,test,Другое,5.3991
d7ab835a0f1329a,control,,4.2821
29f7e4f0ce4bc97,control,,4.4862
87d921507ea61aa,control,,5.8517
d2475844d7362e9,control,,3.5126
33f794f7df3343a,control,Разработка и инженерия,3.8848
4002b12fc130f32,test,,4.0121
efb8486148636d1,control,,6.5981
f17d2e0a601dd4c,test,,5.0464
526dbcf14c935c3,control,Аналитика и исследования,3.8772
96902de50406ee9,test,,6.7893
8aeb87d333e724e,control,Преподавание и обучение,5.4046
9d1f4f6d26c9a5d,control,Преподавание и обучение,4.8223
1f9f59f3f978c49,control,Преподавание и обучение,5.7532
dea974b0f40e53d,control,,4.3937
1a01df539b7eab5,control,Преподавание и обучение,5.9332
a5c25d7dd0cbe50,control,,5.0096
57829e40ee57d6b,control,,6.6933
7706d3fd988060e,test,Преподавание и обучение,6.0049
2c56d0905c5d3b5,test,,6.5681
1b15cd10a4077e0,control,Преподавание и обучение,6.7449
f52ba2e6247c3ad,control,,4.1953
2688fcf2c9b04c5,control,Преподавание и обучение,4.3617
60f105555e02a3d,test,,3.3325
351ed44cad0f386,control,Преподавание и обучение,4.1063
b99a4c6afcb0f4f,control,,6.0991
d96df2a26c19cae,control,,4.2968
ed8aee49af4c2c3,test,,3.7561
46a538b705463d5,test,Другое,4.694
cc41eda3ed9c009,test,,5.8435
dac3ab04ccfbc73,test,Преподавание и обучение,5.992
f8c9e13a93d0dbc,test,,5.6536
1e66a4ca38284ff,control,,2.9141
614f7578d624d75,control,Маркетинг и реклама,4.7677
2513f890aed517c,test,,6.9884
3343e36096df030,control,,4.2515
c731f1bb5d06bc4,control,,6.706
1080a796e85284c,control,Дизайн,2.5306
0ed403eb8855e9f,control,Преподавание и обучение,2.7084
a8d18d290087218,test,,5.5384
4ef40cf3da9f3c3,control,,7.2723
c335a05b7cd1265,control,,5.109
5decd1afe8d10fe,control,,5.4494
af660eb6a1e0d8a,control,,6.1861
dca51922fdd8bb8,control,Преподавание и обучение,6.6671
8a7dca8ce985210,control,,4.7116
f096414d5619675,test,,5.6564
d5dbdec655630e0,test,Управление продуктом,5.6622
d00a1d47f05162a,test,,6.6192
26f5053918e1c80,test,,5.9507
a4e1138ccca045f,control,,5.4485
c2a431884f841dc,test,Преподавание и обучение,7.1703
8c34e73667fcd31,control,,5.1203
7bf1e8157d6f844,test,,4.3643
4e349296e1ccc1d,control,Аналитика и исследования,4.7064
20445f5f6dbffb0,test,,2.6477
3634fc3627a7422,test,,4.9518
e6c897b9f96b154,test,Преподавание и обучение,5.78
d12fc92c3162012,control,,2.4371
